experiment,amm_type,steps,seed,total_steps,avg_price_gap,max_price_gap,min_price_gap,avg_volatility,max_volatility,price_stability,initial_k,final_k,k_growth_percent,total_swaps,arb_trades,arb_profit,lp_exited,lp_panic_events,num_runs,seed_base,avg_price_gap_mean,avg_price_gap_std,avg_price_gap_min,avg_price_gap_max,max_price_gap_mean,max_price_gap_std,max_price_gap_min,max_price_gap_max,price_stability_mean,price_stability_std,price_stability_min,price_stability_max,k_growth_percent_mean,k_growth_percent_std,k_growth_percent_min,k_growth_percent_max,arb_profit_mean,arb_profit_std,arb_profit_min,arb_profit_max,arb_trades_mean,arb_trades_std,arb_trades_min,arb_trades_max,lp_panic_events_mean,lp_panic_events_std,lp_panic_events_min,lp_panic_events_max,total_swaps_mean,total_swaps_std,total_swaps_min,total_swaps_max,avg_volatility_mean,avg_volatility_std,avg_volatility_min,avg_volatility_max,max_volatility_mean,max_volatility_std,max_volatility_min,max_volatility_max,lp_exit_rate,crash_step,crash_magnitude,dump_step,pump_step,volatility_multiplier
baseline,uniswap,500,42.0,500.0,5.21903348961089,41.14412289653592,0.009405169218553056,0.01008624956649683,0.01997250677115631,96.92375023697123,20000166.61694897,20194551.716976605,0.9719174032425615,984.0,381.0,1302.2731884391396,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,uniswap,500,1042.0,500.0,4.630006342454095,44.549650059826035,0.011470660031136504,0.010191946188047765,0.0199927585704754,128.84375486096482,20000799.58645042,20201365.79047837,1.0027909292377624,1030.0,381.0,-2926.2408086887444,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,4.924519916032493,0.4165050900575361,4.630006342454095,5.21903348961089,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,112.88375254896803,22.57085172513182,96.92375023697123,128.84375486096482,0.9873541662401619,0.021830879590345693,0.9719174032425615,1.0027909292377624,-811.9838101248024,2990.01092171136,-2926.2408086887444,1302.2731884391396,381.0,0.0,381.0,381.0,0.0,0.0,0.0,0.0,1007.0,32.526911934581186,984.0,1030.0,0.010139097877272298,7.473879784717403e-05,0.01008624956649683,0.010191946188047765,0.019982632670815854,1.4320184629756931e-05,0.01997250677115631,0.0199927585704754,0.0,,,,,
flash_crash,uniswap,500,42.0,500.0,4.4172649490097395,41.14412289653592,0.00808545107372538,0.010018870719135233,0.01997296273951583,472.87833545877305,20000166.61694897,20220082.341329746,1.0995694615584473,1002.0,379.0,-131.34618443937507,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,uniswap,500,1042.0,500.0,3.947255772057737,44.549650059826035,0.007682794892161837,0.010191054826595217,0.01994323454686864,464.7376667602309,20000799.58645042,20228171.876673266,1.136816001980634,1073.0,383.0,15089.81231228757,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,4.182260360533738,0.33234667624266895,3.947255772057737,4.4172649490097395,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,468.808001109502,5.756322040132206,464.7376667602309,472.87833545877305,1.1181927317695406,0.026337281308267048,1.0995694615584473,1.136816001980634,7479.233063924097,10762.984390550859,-131.34618443937507,15089.81231228757,381.0,2.8284271247461903,379.0,383.0,0.0,0.0,0.0,0.0,1037.5,50.204581464244875,1002.0,1073.0,0.010104962772865225,0.00012175254999750802,0.010018870719135233,0.010191054826595217,0.019958098643192236,2.1021006613247802e-05,0.01994323454686864,0.01997296273951583,0.0,,,,,
whale_manipulation,uniswap,600,42.0,600.0,5.132430630853919,41.14412289653592,0.009390870499146331,0.01001037309384388,0.019996306144202877,143.24658879106013,20000166.61694897,20251955.212888632,1.2589324917237743,1185.0,456.0,4208.767122077115,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,uniswap,600,1042.0,600.0,4.6238535194405355,44.549650059826035,0.011470660031136504,0.010150820288428456,0.0199927585704754,122.98959017497963,20000799.58645042,20263810.24334515,1.315000711636083,1243.0,460.0,-1045.5717331208289,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,uniswap,600,,,,,,,,,,,,,,,,,2.0,42.0,4.8781420751472275,0.35961832423666956,4.6238535194405355,5.132430630853919,42.84688647818098,2.4080713506774285,41.14412289653592,44.549650059826035,133.11808948301987,14.323861087917036,122.98959017497963,143.24658879106013,1.2869666016799286,0.03964621850905202,1.2589324917237743,1.315000711636083,1581.5976944781432,3715.3786351624276,-1045.5717331208289,4208.767122077115,458.0,2.8284271247461903,456.0,460.0,0.0,0.0,0.0,0.0,1214.0,41.012193308819754,1185.0,1243.0,0.010080596691136168,9.931116368938026e-05,0.01001037309384388,0.010150820288428456,0.01999453235733914,2.5085134394591418e-06,0.0199927585704754,0.019996306144202877,0.0,,,,,
high_volatility,uniswap,500,42.0,500.0,6.788589863376076,66.22021138781201,0.012364410283680627,0.04976986329453052,0.09986253385578156,346.22181516265294,20000819.495406825,5216322.625425534,-73.91945551719287,1117.0,481.0,-3205.287306917773,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
high_volatility,uniswap,500,1042.0,500.0,95.69779644801139,282.2923814170058,0.0036118448768434064,0.05049738482949354,0.099963792852377,421.1805887023616,20002010.50196634,5118812.6047033975,-74.40850956357521,913.0,215.0,38095.87298714425,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
high_volatility,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,51.24319315569373,62.86830288591127,6.788589863376076,95.69779644801139,174.2562964024089,152.78609665333562,66.22021138781201,282.2923814170058,383.7012019325073,53.00385707935474,346.22181516265294,421.1805887023616,-74.16398254038404,0.34581343256366986,-74.40850956357521,-73.91945551719287,17445.292840113238,29204.330514803838,-3205.287306917773,38095.87298714425,348.0,188.09040379562165,215.0,481.0,1.0,0.0,1.0,1.0,1015.0,144.2497833620557,913.0,1117.0,0.050133624062012036,0.0005144354108315974,0.04976986329453052,0.05049738482949354,0.09991316335407928,7.160092314877976e-05,0.09986253385578156,0.099963792852377,1.0,,,,,
baseline,constant_sum,500,42.0,500.0,8874.829861957653,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333.0,7.0,-131038.03652577192,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,constant_sum,500,1042.0,500.0,8233.590306510014,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193.0,10.0,-109142.78627614287,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,constant_sum,500,,,,,,,,,,,,,,,,,2.0,42.0,8554.210084233833,453.42483802207255,8233.590306510014,8874.829861957653,49577.1172844746,14740.481861206412,39154.022602458244,60000.211966490955,8990.229644360932,2675.3739631432636,7098.454572812402,10882.004715909463,0.0005786969562326938,0.0001286087275180111,0.0004877568528849352,0.0006696370595804524,-120090.4114009574,15482.279927289152,-131038.03652577192,-109142.78627614287,8.5,2.1213203435596424,7.0,10.0,0.0,0.0,0.0,0.0,263.0,98.99494936611666,193.0,333.0,0.009947456151917253,6.828337077161813e-05,0.009899172517402367,0.00999573978643214,0.01996238465157766,3.08938076361341e-05,0.019940539430701475,0.01998422987245384,0.0,,,,,
flash_crash,constant_sum,500,42.0,500.0,9221.15668704997,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333.0,7.0,-65471.38919698319,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,constant_sum,500,1042.0,500.0,8545.69732356227,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193.0,10.0,-54527.379239354224,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,constant_sum,500,,,,,,,,,,,,,,,,,2.0,42.0,8883.42700530612,477.6218963381018,8545.69732356227,9221.15668704997,49577.1172844746,14740.481861206412,39154.022602458244,60000.211966490955,8990.229644360932,2675.3739631432636,7098.454572812402,10882.004715909463,0.0005786969562326938,0.0001286087275180111,0.0004877568528849352,0.0006696370595804524,-59999.38421816871,7738.583654412542,-65471.38919698319,-54527.379239354224,8.5,2.1213203435596424,7.0,10.0,0.0,0.0,0.0,0.0,263.0,98.99494936611666,193.0,333.0,0.009947456151917253,6.828337077161813e-05,0.009899172517402367,0.00999573978643214,0.01996238465157766,3.08938076361341e-05,0.019940539430701475,0.01998422987245384,0.0,,,,,
whale_manipulation,constant_sum,600,42.0,600.0,6724.106551868326,60000.211966490955,3.662109250886715,0.010145574462968756,0.019988509125815065,8578.46297615961,200100.0,200101.43322654816,0.0007162551465045297,408.0,7.0,-127041.55152793761,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,constant_sum,600,1042.0,600.0,8364.309454688411,39154.022602458244,3.1518650275575055,0.009909376076241963,0.019996165078238187,7095.388935087932,200100.00403370973,200101.19492781535,0.0005951494660649814,235.0,10.0,-101078.89451238254,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,constant_sum,600,,,,,,,,,,,,,,,,,2.0,42.0,7544.208003278369,1159.798595105942,6724.106551868326,8364.309454688411,49577.1172844746,14740.481861206412,39154.022602458244,60000.211966490955,7836.92595562377,1048.6917114435198,7095.388935087932,8578.46297615961,0.0006557023062847556,8.563464787901561e-05,0.0005951494660649814,0.0007162551465045297,-114060.22302016008,18358.370833319485,-127041.55152793761,-101078.89451238254,8.5,2.1213203435596424,7.0,10.0,0.0,0.0,0.0,0.0,321.5,122.32947314527271,235.0,408.0,0.01002747526960536,0.0001670174809598379,0.009909376076241963,0.010145574462968756,0.019992337102026626,5.4135758748309915e-06,0.019988509125815065,0.019996165078238187,0.0,,,,,
high_volatility,constant_sum,500,42.0,500.0,3203.7618500974986,41549.94519026436,2.292445476145531,0.04949586258701184,0.09992114936226923,3398.726002197928,200100.0,100051.17563937842,-49.99941247407376,346.0,20.0,-15408.638285565714,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
high_volatility,constant_sum,500,1042.0,500.0,11253.03774924231,3624119.366176565,0.0984755308777494,0.049978698932160705,0.09970269715350738,161911.01960939873,200100.01032874302,100050.9507476713,-49.99952744465218,213.0,29.0,-8225.013144826167,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
high_volatility,constant_sum,500,,,,,,,,,,,,,,,,,2.0,42.0,7228.3997996699045,5691.697571926741,3203.7618500974986,11253.03774924231,1832834.6556834148,2533259.1316509764,41549.94519026436,3624119.366176565,82654.87280579832,112085.11771108472,3398.726002197928,161911.01960939873,-49.99946995936297,8.129647563978133e-05,-49.99952744465218,-49.99941247407376,-11816.82571519594,5079.5900505191,-15408.638285565714,-8225.013144826167,24.5,6.363961030678928,20.0,29.0,1.0,0.0,1.0,1.0,279.5,94.04520189781083,213.0,346.0,0.04973728075958627,0.0003414168538580931,0.04949586258701184,0.049978698932160705,0.0998119232578883,0.00015446903818068275,0.09970269715350738,0.09992114936226923,1.0,,,,,
